Unnamed: 0,property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
170,0.0,103.0,3,3,3.0,0.0,1437.0,1,0,1,2.0,0.0,1.25
171,0.0,25.0,2,2,3.0,0.0,1281.0,0,0,1,2.0,0.0,0.98
172,0.0,10.0,2,3,3.0,3.0,1161.0,0,0,1,2.0,2.0,0.93
173,0.0,69.0,3,3,2.0,1.0,1402.0,0,0,1,2.0,2.0,2.24
174,0.0,63.0,3,3,3.0,2.0,1810.0,1,0,2,2.0,2.0,1.55
175,0.0,89.0,2,2,4.0,3.0,1172.0,0,0,1,1.0,0.0,0.78
176,0.0,17.0,3,3,2.0,4.0,1429.0,0,0,1,2.0,2.0,1.93
177,0.0,6.0,4,4,4.0,3.0,3064.0,1,0,2,0.0,0.0,2.6
178,1.0,16.0,4,4,4.0,3.0,6350.0,1,0,2,2.0,1.0,7.46
179,0.0,27.0,4,6,4.0,1.0,2778.0,1,0,0,1.0,2.0,4.8
180,0.0,10.0,2,2,3.0,3.0,1167.0,1,0,1,0.0,2.0,0.97
181,0.0,4.0,2,2,2.0,3.0,828.0,0,0,1,2.0,0.0,0.97
182,0.0,105.0,3,4,2.0,4.0,1475.0,0,0,1,2.0,1.0,1.7
183,1.0,31.0,3,3,3.0,0.0,2430.0,0,0,1,1.0,1.0,6.75
184,0.0,103.0,3,3,4.0,0.0,2144.0,1,0,1,2.0,2.0,1.2
185,0.0,80.0,3,5,3.0,3.0,1527.0,1,0,1,0.0,2.0,1.65
186,1.0,19.0,2,7,3.0,0.0,1300.0,0,0,1,1.0,2.0,1.5
187,0.0,96.0,2,2,4.0,3.0,1222.0,0,0,1,2.0,2.0,0.69
188,0.0,97.0,2,2,3.0,3.0,1660.0,0,0,1,1.0,0.0,1.2
189,0.0,105.0,3,4,3.0,0.0,1778.0,0,0,1,2.0,1.0,0.75
190,0.0,55.0,3,3,3.0,0.0,2178.0,0,0,1,2.0,2.0,1.69
191,0.0,75.0,4,4,4.0,3.0,3160.0,1,0,2,1.0,1.0,4.5
